,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to999,2000_to_9999,greater_than0000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per000,num_crimes95,num_crimes96
3122,3905,29,63.45205479452055,M,3905,3228,DISPONENT,2378752.500000001,13142.279005524868,181.0,3847.0,,197.6269230769231,,,14.6,,20618.549549549552,22.0,,26.0,,,22.0,,111.0,17349.204285714288,10843.533333333333,10433.90833333333,70.0,15.0,96.0,1026930.3999999998,11669.663636363633,88.0,2378752.500000001,13142.279005524868,181.0,0.8206220065144381,,3847.0,3847.0,1.0,3847.0,,,,,1.0,,,,,29,MONTHLY,1398,,,,,,,,,,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
3121,3904,29,60.0027397260274,F,3904,3228,OWNER,2378752.500000001,13142.279005524868,181.0,3847.0,,197.6269230769231,,,14.6,,20618.549549549552,22.0,,26.0,,,22.0,,111.0,17349.204285714288,10843.533333333333,10433.90833333333,70.0,15.0,96.0,1026930.3999999998,11669.663636363633,88.0,2378752.500000001,13142.279005524868,181.0,0.8206220065144381,,3847.0,3847.0,1.0,3847.0,,,,,1.0,,,,,29,MONTHLY,1398,,,,,,,,,,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
3853,4479,2,40.46849315068493,F,4479,3714,OWNER,3747378.400000001,7616.622764227643,492.0,3217.0,77.0,229.98928571428573,,,30.0,,12129.732203389829,47.0,47.0,56.0,,,47.0,,295.0,14177.151111111109,10650.764705882353,4860.0,135.0,17.0,340.0,982957.9,7991.527642276425,123.0,2967956.2,8176.187878787879,363.0,0.8205527122515606,2.0033562591582603,4233.0,1058.25,4.0,3217.0,77.0,,,469.5,1.0,1.0,,,2.0,2,WEEKLY,475,,,,,,,690.0,classic,1406.0,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
4564,2598,28,33.20821917808219,M,2598,2147,DISPONENT,283395.3000000001,2163.3229007633595,131.0,2965.0,,73.37586206896552,,,14.600000000000005,,3901.735849056604,25.0,,29.0,,,24.0,,53.0,2469.998387096774,,1887.759420289856,62.0,,69.0,107701.60000000002,2071.184615384616,52.0,283395.3000000001,2163.3229007633595,131.0,0.8201749375930011,,4306.0,2153.0,2.0,2965.0,,1341.0,,,1.0,,1.0,,,28,MONTHLY,1286,,,,,,,,,,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
4563,2597,28,29.42465753424657,F,2597,2147,OWNER,283395.3000000001,2163.3229007633595,131.0,2965.0,,73.37586206896552,,,14.600000000000005,,3901.735849056604,25.0,,29.0,,,24.0,,53.0,2469.998387096774,,1887.759420289856,62.0,,69.0,107701.60000000002,2071.184615384616,52.0,283395.3000000001,2163.3229007633595,131.0,0.8201749375930011,,4306.0,2153.0,2.0,2965.0,,1341.0,,,1.0,,1.0,,,28,MONTHLY,1286,,,,,,,,,,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
3636,4330,33,77.55342465753425,M,4330,3588,OWNER,370257.5,2683.0253623188396,138.0,1563.0,,112.4807692307692,,6679.0,14.600000000000005,,4063.225806451613,26.0,,26.0,,30.0,25.0,,31.0,3578.850877192983,,2052.629629629631,57.0,,81.0,142465.20000000007,2544.021428571429,56.0,370257.5,2683.0253623188396,138.0,0.8201324045823498,,1563.0,1563.0,1.0,1563.0,,,,,1.0,,,,,33,MONTHLY,1274,,,,,,,,,,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
5071,2788,49,47.23013698630137,F,2788,2304,OWNER,1584503.8000000003,12188.490769230772,130.0,,,167.3212121212121,,,14.6,,21048.81333333333,,,33.0,,,22.0,,75.0,13647.145762711863,11789.0,10858.406451612898,59.0,9.0,62.0,618710.7999999998,12374.215999999995,50.0,1584503.8000000003,12188.490769230772,130.0,0.8195900187414855,,,,,,,,,,,,,,,49,MONTHLY,1144,,,,,,,,,,49,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
3446,2646,63,61.6109589041096,F,2646,2186,OWNER,709483.0999999994,2086.714999999998,340.0,2283.0,,89.61363636363632,,5492.0,14.600000000000017,,2337.1764705882347,62.0,,66.0,,66.0,61.0,,85.0,2777.3421052631597,,1642.978743961352,133.0,,207.0,120352.3,2075.039655172414,58.0,397954.0999999999,2105.577248677248,189.0,0.8192168885464299,1.1000915798230853,2283.0,2283.0,1.0,2283.0,,,,,1.0,,,,,63,MONTHLY,187,,,,,,,,,,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1257,4764,54,19.227397260273968,M,4764,3949,OWNER,356500.8999999998,4194.128235294115,85.0,,,172.83939393939391,,,14.599999999999998,,7793.222222222223,,,33.0,,,7.0,,45.0,3690.3596153846147,,4987.9454545454555,52.0,,33.0,131558.10000000006,3758.802857142858,35.0,356500.8999999998,4194.128235294115,85.0,0.8191463594595154,,,,,,,,,,,,,,,54,MONTHLY,1105,,,,,,,733.0,junior,1641.0,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
3598,1720,33,64.8958904109589,F,1720,1419,OWNER,705547.9999999994,2290.740259740258,308.0,3305.0,,93.15789473684208,,6051.0,14.600000000000017,,1908.641975308642,55.0,,57.0,,60.0,55.0,,81.0,3125.1694915254247,,1772.5157894736835,118.0,,190.0,131270.2,2302.985964912281,57.0,434961.0999999999,2265.422395833333,192.0,0.8181673129972913,1.06533328641138,3305.0,3305.0,1.0,3305.0,,,,,1.0,,,,,33,MONTHLY,355,,,,,,,,,,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
3599,1721,33,64.54520547945205,M,1721,1419,DISPONENT,705547.9999999994,2290.740259740258,308.0,3305.0,,93.15789473684208,,6051.0,14.600000000000017,,1908.641975308642,55.0,,57.0,,60.0,55.0,,81.0,3125.1694915254247,,1772.5157894736835,118.0,,190.0,131270.2,2302.985964912281,57.0,434961.0999999999,2265.422395833333,192.0,0.8181673129972913,1.06533328641138,3305.0,3305.0,1.0,3305.0,,,,,1.0,,,,,33,MONTHLY,355,,,,,,,,,,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
2019,2708,73,40.41643835616439,M,2708,2236,OWNER,1307127.1999999995,7644.01871345029,171.0,14535.0,,93.38684210526314,3873.699999999999,,14.600000000000007,10.783333333333333,15204.725806451614,20.0,,38.0,18.0,,27.0,6.0,62.0,9600.539705882353,6876.25,6331.166666666662,68.0,4.0,99.0,455959.20000000007,7728.122033898307,59.0,1254589.6999999995,7792.482608695649,161.0,0.8176874447204586,10.613759695455627,3873.7,3873.7,1.0,,,,3873.7,,,,,1.0,,73,MONTHLY,968,5415.0,139464.0,36.0,3874.0,D,1364.0,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
258,1689,1,62.117808219178066,M,1689,1395,OWNER,526871.9999999997,2545.275362318839,207.0,3432.0,,128.18378378378375,,,14.600000000000007,,3885.264150943396,32.0,,37.0,,,32.0,,106.0,2982.2762886597943,,2159.920000000001,97.0,,110.0,169900.80000000002,2427.154285714286,70.0,511525.2999999997,2519.8290640394075,203.0,0.816402942688687,13.560504864237918,3432.0,3432.0,1.0,3432.0,,,,,1.0,,,,,1,MONTHLY,1054,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
3052,3229,50,19.72054794520548,M,3229,2674,OWNER,551449.7999999997,2785.099999999999,198.0,,,112.86666666666667,,,14.60000000000001,,4407.5564516129025,,,39.0,,,35.0,,124.0,2998.8294736842104,,2587.970873786409,95.0,,103.0,178633.80000000005,2928.422950819672,61.0,527623.0999999997,2791.6566137566124,189.0,0.8157554402327888,9.190513163803633,,,,,,,,,,,,,,50,MONTHLY,1012,,,,,,,,,,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
2255,4790,75,52.92876712328767,M,4790,3971,OWNER,1159956.2999999998,6987.688554216867,166.0,9510.0,857.0,139.06818181818184,,,14.599999999999998,,10764.153846153846,17.0,18.0,22.0,,,18.0,,91.0,12897.648936170215,6702.0,4618.4854700854685,47.0,2.0,117.0,519989.1,5360.71237113402,97.0,1159956.2999999998,6987.688554216867,166.0,0.8125246106362953,,11795.0,2948.75,4.0,9510.0,857.0,,,714.0,1.0,1.0,,,2.0,75,MONTHLY,1532,,,,,,,,,,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
1644,1152,74,17.819178082191783,M,1152,956,OWNER,865464.4999999994,2696.151090342677,321.0,,,162.7360655737705,,,14.600000000000017,,4189.803921568628,,,61.0,,,56.0,,204.0,2823.174096385542,,2560.113548387095,166.0,,155.0,167103.5,2739.401639344262,61.0,576972.3999999998,2928.7939086294405,197.0,0.8118843582166708,1.4488054955861158,,,,,,,,,,,,,,74,MONTHLY,338,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
482,3615,1,24.51232876712329,M,3615,2993,OWNER,2751190.9,12505.413181818181,220.0,,,231.88285714285712,,,30.0,,18040.032894736843,,,35.0,,,33.0,,152.0,13830.478999999998,14202.208333333336,10700.9375,100.0,24.0,96.0,818218.3,10489.978205128204,78.0,2751190.9,12505.413181818181,220.0,0.8115398947441816,,,,,,,,,,,,,,,1,WEEKLY,1138,,,,,,,568.0,classic,1524.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
890,5149,15,36.063013698630144,M,5149,4273,OWNER,1586228.600000001,11330.204285714291,140.0,9909.0,,160.68,,,14.6,,20492.507462686568,21.0,,30.0,,,22.0,,67.0,12594.244444444448,16270.25,9968.632876712325,63.0,4.0,73.0,612840.5000000001,10943.580357142859,56.0,1586228.600000001,11330.204285714291,140.0,0.8109738095795777,,12804.2,6402.1,2.0,9909.0,,2895.2,,,1.0,,1.0,,,15,MONTHLY,1165,,,,,,,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
2092,38,36,25.46027397260274,F,38,30,OWNER,4561803.200000001,16234.175088967975,281.0,,,186.98636363636368,,,14.600000000000012,,23468.804123711343,,,44.0,,,43.0,,194.0,17715.226153846153,13089.8,15244.487022900768,130.0,20.0,131.0,1135821.9,16703.26323529412,68.0,3386077.200000002,16201.326315789485,209.0,0.8103790878566558,1.1921087906536048,2480.2,2480.2,1.0,,,2480.2,,,,,1.0,,,36,MONTHLY,792,,,,,,,,,,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1300,951,76,38.315068493150676,M,951,793,DISPONENT,484704.3999999994,975.2603621730368,497.0,,,88.58611111111111,,,14.600000000000017,,1333.3743016759774,,,72.0,,,67.0,,358.0,1738.2772413793107,,660.9494318181826,145.0,,352.0,78704.60000000003,1022.1376623376626,77.0,254101.60000000012,988.7221789883272,257.0,0.8103475436166983,1.0955863856686976,2267.0,755.6666666666665,3.0,1212.0,851.0,,,204.0,1.0,1.0,,,1.0,47,MONTHLY,2,,,,,,,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
1299,950,76,33.74520547945205,F,950,793,OWNER,484704.3999999994,975.2603621730368,497.0,,,88.58611111111111,,,14.600000000000017,,1333.3743016759774,,,72.0,,,67.0,,358.0,1738.2772413793107,,660.9494318181826,145.0,,352.0,78704.60000000003,1022.1376623376626,77.0,254101.60000000012,988.7221789883272,257.0,0.8103475436166983,1.0955863856686976,2267.0,755.6666666666665,3.0,1212.0,851.0,,,204.0,1.0,1.0,,,1.0,47,MONTHLY,2,,,,,,,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
564,4257,1,30.528767123287672,F,4257,3526,OWNER,3511310.4000000013,15745.786547085205,223.0,4559.0,,256.5466666666667,,,14.600000000000005,,23836.021126760566,26.0,,30.0,,,25.0,,142.0,19384.59569892473,12917.428571428567,13169.818965517243,93.0,14.0,116.0,1456230.9000000006,15169.071875000007,96.0,3511310.4000000013,15745.786547085205,223.0,0.8103017199766409,,4559.0,4559.0,1.0,4559.0,,,,,1.0,,,,,1,MONTHLY,1298,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
873,3432,15,25.164383561643834,M,3432,2840,OWNER,3082649.100000004,10140.293092105272,304.0,11282.0,,204.87800000000004,,,14.600000000000017,,15884.15625,47.0,,50.0,,,47.0,,160.0,12491.015199999998,9343.2,8448.758579881658,125.0,10.0,169.0,652277.2999999997,8697.030666666662,75.0,2068420.600000001,9359.369230769233,221.0,0.8089312942545025,0.8891698734599041,14839.0,7419.5,2.0,11282.0,,3557.0,,,1.0,,1.0,,,15,MONTHLY,646,,,,,,,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
1636,825,74,21.76438356164384,M,825,688,OWNER,540340.4999999994,1539.4316239316227,351.0,2509.0,,94.68688524590158,,,14.600000000000017,,2207.536723163842,57.0,,61.0,,,56.0,,177.0,1908.0815068493162,,1276.8809756097573,146.0,,205.0,95751.7,1429.1298507462686,67.0,322626.4,1500.587906976744,215.0,0.8076270693231152,1.094755649945751,2509.0,2509.0,1.0,2509.0,,,,,1.0,,,,,74,MONTHLY,328,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4648,11516,59,60.186301369863024,M,11208,9353,OWNER,2393987.400000002,10408.640869565224,230.0,10240.0,,164.61333333333337,7859.0,,14.6,,18603.73148148148,22.0,,60.0,19.0,,21.0,,108.0,10366.023931623928,13394.375,10228.643809523806,117.0,8.0,105.0,1024307.4999999995,9944.733009708734,103.0,2381287.400000002,10444.242982456148,228.0,0.8067585916837442,99.97307086614175,18099.0,9049.5,2.0,10240.0,,,7859.0,,1.0,,,1.0,,59,MONTHLY,1036,6908.0,188616.0,24.0,7859.0,C,1619.0,,,,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
4649,11517,59,58.65479452054793,F,11209,9353,DISPONENT,2393987.400000002,10408.640869565224,230.0,10240.0,,164.61333333333337,7859.0,,14.6,,18603.73148148148,22.0,,60.0,19.0,,21.0,,108.0,10366.023931623928,13394.375,10228.643809523806,117.0,8.0,105.0,1024307.4999999995,9944.733009708734,103.0,2381287.400000002,10444.242982456148,228.0,0.8067585916837442,99.97307086614175,18099.0,9049.5,2.0,10240.0,,,7859.0,,1.0,,,1.0,,59,MONTHLY,1036,6908.0,188616.0,24.0,7859.0,C,1619.0,,,,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
961,12991,51,51.99452054794522,M,12683,10562,OWNER,2798222.5000000023,12604.605855855869,222.0,,,214.9120689655173,,,14.600000000000005,1.3,20331.31386861314,,,58.0,,,25.0,2.0,137.0,12724.350450450444,10530.133333333333,12790.2875,111.0,15.0,96.0,1057631.7999999996,11372.384946236556,93.0,2798222.5000000023,12604.605855855869,222.0,0.8065286900456865,,,,,,,,,,,,,,,51,MONTHLY,1328,,,,,,,1189.0,classic,1901.0,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
1092,1998,40,20.06027397260274,F,1998,1648,OWNER,209395.9000000001,2158.720618556702,97.0,,,114.08823529411764,,,14.599999999999996,,3140.181818181818,,,17.0,,,14.0,,66.0,1888.3852459016398,,2616.7888888888897,61.0,,36.0,93470.90000000004,1335.298571428572,70.0,209395.9000000001,2158.720618556702,97.0,0.8063049385378479,,,,,,,,,,,,,,,40,MONTHLY,1680,,,,,,,,,,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
1456,5204,47,35.967123287671235,M,5204,4321,OWNER,6513937.3999999985,14540.038839285713,448.0,,,306.75000000000017,,,14.600000000000017,,20544.759493670885,,,68.0,,,64.0,,316.0,15931.100961538465,13756.926829268292,13247.409045226148,208.0,41.0,199.0,1447620.7,16450.235227272726,88.0,3674816.000000002,14699.264000000005,250.0,0.803776730496672,1.7616953138144076,,,,,,,,,,,,,,47,MONTHLY,107,,,,,,,767.0,classic,1717.0,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
4899,1111,61,19.59178082191781,M,1111,922,OWNER,613141.3999999996,1835.7526946107766,334.0,898.0,1652.0,145.34090909090912,,,14.60000000000001,,2940.866279069768,40.0,39.0,44.0,,,39.0,,172.0,2770.319672131147,,1297.9358490566044,122.0,,212.0,162565.30000000002,1693.388541666667,96.0,535701.8999999997,1834.5955479452045,292.0,0.8032449921115965,2.613468578696919,2805.0,935.0,3.0,898.0,1652.0,,,255.0,1.0,1.0,,,1.0,61,MONTHLY,846,,,,,,,,,,61,Trebic,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
3546,744,26,58.49589041095891,M,744,620,OWNER,83300.0,2380.0,35.0,,,,,,,,2380.0,,,,,,,,35.0,2510.5263157894738,,2225.0,19.0,,16.0,22400.0,1866.666666666667,12.0,83300.0,2380.0,35.0,0.8028673835125448,,,,,,,,,,,,,,,26,MONTHLY,1143,,,,,,,,,,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
2593,6604,72,50.46849315068493,M,6604,5472,OWNER,744282.4999999992,2248.587613293049,331.0,,,72.34411764705884,,,14.600000000000017,2.4333333333333336,3748.4060913705584,,,68.0,,,63.0,3.0,197.0,2468.785526315789,,2061.603910614524,152.0,,179.0,117273.10000000006,1954.5516666666672,60.0,384466.3999999997,2124.123756906076,181.0,0.8027593052109182,1.0695877232159197,,,,,,,,,,,,,,1,MONTHLY,123,,,,,,,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
3924,8610,55,50.7013698630137,F,8610,7133,OWNER,745930.699999999,1315.5744268077585,567.0,2683.0,115.0,73.74444444444445,1352.0,,14.600000000000017,,1803.7123287671234,59.0,59.0,63.0,36.0,,58.0,,292.0,2383.811875000001,,895.6285012285008,160.0,,407.0,116443.5,1141.6029411764707,102.0,396458.79999999993,1201.3903030303027,330.0,0.8022381247317398,0.8620849812524758,4250.0,850.0,5.0,2683.0,115.0,,1352.0,50.0,1.0,1.0,,1.0,2.0,1,MONTHLY,259,6460.0,48672.0,36.0,1352.0,A,674.0,,,,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
3925,8611,55,50.21643835616438,M,8611,7133,DISPONENT,745930.699999999,1315.5744268077585,567.0,2683.0,115.0,73.74444444444445,1352.0,,14.600000000000017,,1803.7123287671234,59.0,59.0,63.0,36.0,,58.0,,292.0,2383.811875000001,,895.6285012285008,160.0,,407.0,116443.5,1141.6029411764707,102.0,396458.79999999993,1201.3903030303027,330.0,0.8022381247317398,0.8620849812524758,4250.0,850.0,5.0,2683.0,115.0,,1352.0,50.0,1.0,1.0,,1.0,2.0,1,MONTHLY,259,6460.0,48672.0,36.0,1352.0,A,674.0,,,,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
3806,3781,17,23.82465753424657,F,3781,3126,OWNER,384175.8999999999,2724.6517730496444,141.0,3992.0,,80.8964285714286,,,14.600000000000005,,4329.80303030303,24.0,,28.0,,,23.0,,66.0,3177.0640624999987,,2348.620779220781,64.0,,77.0,152499.00000000006,2629.2931034482763,58.0,384175.8999999999,2724.6517730496444,141.0,0.8018932165699042,,3992.0,3992.0,1.0,3992.0,,,,,1.0,,,,,17,MONTHLY,1341,,,,,,,,,,17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
5003,587,25,53.52054794520548,F,587,488,OWNER,76900.0,2480.6451612903224,31.0,,,,,,,,2480.6451612903224,,,,,,,,31.0,2769.5652173913045,,1650.0,23.0,,8.0,23000.0,1916.666666666667,12.0,76900.0,2480.6451612903224,31.0,0.8013937282229965,,,,,,,,,,,,,,,25,MONTHLY,1266,,,,,,,,,,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
1753,4795,74,73.33698630136986,F,4795,3976,OWNER,387346.69999999966,2116.64863387978,183.0,967.0,,83.25862068965516,,6453.0,14.600000000000007,,2253.223880597015,28.0,,29.0,,32.0,27.0,,67.0,3379.201612903226,,1469.7206611570255,62.0,,121.0,134300.90000000005,1918.5842857142866,70.0,387346.69999999966,2116.64863387978,183.0,0.8003343146252223,,2414.0,1207.0,2.0,1207.0,,,,,2.0,,,,,74,MONTHLY,1200,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
3505,2892,3,57.821917808219176,F,2892,2395,OWNER,514817.8999999997,3064.3922619047607,168.0,3696.0,,141.8466666666667,,,14.600000000000005,,4747.698863636364,25.0,,30.0,,,25.0,,88.0,3615.751948051948,,2597.857142857144,77.0,,91.0,196010.50000000003,2800.1500000000005,70.0,514817.8999999997,3064.3922619047607,168.0,0.7999664521837505,,3696.0,3696.0,1.0,3696.0,,,,,1.0,,,,,3,MONTHLY,1270,,,,,,,,,,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
2631,2131,39,23.90410958904109,F,2131,1759,OWNER,716384.5999999995,3460.7951690821233,207.0,1856.0,,91.50285714285714,,,14.600000000000007,,5866.642857142857,30.0,,35.0,,,30.0,,112.0,5336.254794520549,,2439.089552238805,73.0,,134.0,215573.50000000003,3036.2464788732395,71.0,716384.5999999995,3460.7951690821233,207.0,0.7998743642146541,,3722.0,1861.0,2.0,1856.0,,,,1866.0,1.0,,,,1.0,39,MONTHLY,1119,,,,,,,,,,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
2632,2132,39,29.920547945205477,M,2132,1759,DISPONENT,716384.5999999995,3460.7951690821233,207.0,1856.0,,91.50285714285714,,,14.600000000000007,,5866.642857142857,30.0,,35.0,,,30.0,,112.0,5336.254794520549,,2439.089552238805,73.0,,134.0,215573.50000000003,3036.2464788732395,71.0,716384.5999999995,3460.7951690821233,207.0,0.7998743642146541,,3722.0,1861.0,2.0,1856.0,,,,1866.0,1.0,,,,1.0,39,MONTHLY,1119,,,,,,,,,,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
1617,361,74,21.61917808219178,F,361,297,OWNER,377907.2,2276.549397590361,166.0,,,108.79285714285713,,,14.600000000000005,,3314.123893805309,,,28.0,,,25.0,,113.0,2219.1131313131314,,2361.417910447762,99.0,,67.0,156837.7,2119.4283783783785,74.0,377907.2,2276.549397590361,166.0,0.7992401908950306,,,,,,,,,,,,,,,74,MONTHLY,1346,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
2585,4927,72,43.82739726027398,F,4927,4090,OWNER,71402.6,2550.092857142857,28.0,,,2.6,,,,,2644.444444444445,,,1.0,,,,,27.0,3407.328571428571,,1692.857142857143,14.0,,14.0,23302.6,1792.5076923076922,13.0,71402.6,2550.092857142857,28.0,0.7980342465753424,,,,,,,,,,,,,,,72,MONTHLY,1379,,,,,,,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
741,1791,5,32.663013698630145,F,1791,1478,OWNER,1596801.6000000006,11012.424827586208,145.0,11931.0,,196.57692307692315,,,14.6,,17413.415584415583,21.0,,26.0,,,21.0,,77.0,12916.630769230771,11070.375,9286.911111111109,65.0,8.0,72.0,670557.4999999999,9579.392857142857,70.0,1596801.6000000006,11012.424827586208,145.0,0.7972179775606841,,11931.0,11931.0,1.0,11931.0,,,,,1.0,,,,,5,MONTHLY,1398,,,,,,,279.0,classic,1724.0,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
2571,4054,72,39.92328767123289,F,4054,3352,OWNER,683039.3999999992,1802.214775725592,379.0,2360.0,,90.34193548387094,,,14.600000000000017,,2670.374384236453,57.0,,62.0,,,57.0,,203.0,2416.146206896552,,1421.7871794871787,145.0,,234.0,114541.0,1709.5671641791046,67.0,392050.5999999999,1750.2258928571425,224.0,0.7966146606697374,0.9997232738511168,2938.0,1469.0,2.0,2360.0,,,,578.0,1.0,,,,1.0,42,MONTHLY,311,,,,,,,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208
1012,4941,60,19.863013698630137,F,4941,4102,OWNER,183089.30000000005,3980.202173913045,46.0,,,249.3117647058823,,,,,6167.275862068967,,,17.0,,,,,29.0,4054.8034482758644,,3852.941176470588,29.0,,17.0,80834.2,3109.007692307692,26.0,183089.30000000005,3980.202173913045,46.0,0.7959639643897746,,,,,,,,,,,,,,,60,MONTHLY,1412,,,,,,,751.0,junior,2113.0,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
